"id","city","temperature","wind_speed","condition","timestamp"
29,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:22.229321"
30,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:23.297557"
31,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:24.627535"
32,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:25.854753"
33,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:26.964861"
34,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:28.005102"
35,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:31.774868"
36,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:32.516504"
37,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:33.64053"
38,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:34.971631"
39,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:36.605097"
40,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:37.836396"
41,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:38.809137"
42,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:40.607831"
43,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:41.834551"
44,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:42.85911"
45,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:44.592264"
46,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:45.806499"
47,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:46.896998"
48,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:47.574532"
49,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:48.078655"
50,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:48.42996"
51,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:48.69261"
52,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:49.094825"
53,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:37.838291"
54,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:38.805293"
55,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:40.605618"
56,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:41.832108"
57,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:42.85638"
58,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:44.595201"
59,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:46.619915"
60,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:47.359464"
61,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:48.023161"
62,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:48.303322"
63,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:48.615566"
64,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:48.918134"
65,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:49.245347"
66,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:49.517145"
67,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:49.887911"
68,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:50.162965"
69,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:50.428569"
70,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:50.711146"
71,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:50.992675"
72,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:51.306689"
73,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:51.606319"
74,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:51.871704"
75,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:52.141576"
76,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:52.450866"
77,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:52.71851"
78,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:52.980355"
79,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:49.397049"
80,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:49.663748"
81,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:49.969196"
82,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:50.2292"
83,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:50.549594"
84,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:50.808572"
85,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:51.073525"
86,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:51.371297"
87,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:51.644395"
88,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:51.994822"
89,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:52.403158"
90,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:52.685892"
91,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:53.030532"
92,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:49.409217"
93,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:49.786075"
94,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:50.084292"
95,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:50.347778"
96,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:50.620812"
97,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:50.895287"
98,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:51.302146"
99,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:51.562483"
100,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:51.926033"
101,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:52.243655"
102,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:52.531959"
103,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:52.893729"
104,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:53.172693"
105,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:51.554127"
106,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:51.916057"
107,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:52.199852"
108,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:52.47463"
109,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:52.750889"
110,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:53.047131"
111,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:53.301467"
112,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:53.589755"
113,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:53.876789"
114,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:54.33417"
115,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:54.64908"
116,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:37:54.904832"
117,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:37:55.238831"
118,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:37:55.26287"
119,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:37:55.631909"
120,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:37:56.040521"
121,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:37:56.452419"
122,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:37:57.039088"
123,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:37:57.679476"
124,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:37:58.088859"
125,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:37:58.476627"
126,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:37:58.750454"
127,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:37:59.143324"
128,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:37:59.581335"
129,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:00.966004"
130,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:01.328304"
131,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:01.532093"
132,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:01.819303"
133,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:02.117243"
134,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:02.472463"
135,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:02.731776"
136,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:03.011526"
137,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:03.308506"
138,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:03.689763"
139,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:03.993282"
140,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:04.281966"
141,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:04.691976"
142,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:05.066741"
143,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:05.318681"
144,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:05.365053"
145,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:05.721113"
146,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:06.163911"
147,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:06.504102"
148,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:06.834234"
149,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:07.09152"
150,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:07.450427"
151,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:07.784246"
152,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:08.179797"
153,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:08.609499"
154,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:08.891869"
155,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:09.276644"
156,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:09.569797"
157,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:11.53399"
158,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:11.798669"
159,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:12.519057"
160,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:13.870359"
161,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:14.613059"
162,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:15.854475"
163,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:16.429339"
164,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:17.588996"
165,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:18.105437"
166,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:18.411236"
167,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:18.719164"
168,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:19.084768"
169,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:19.575878"
170,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:19.879117"
171,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:20.149832"
172,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:20.441519"
173,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:20.801562"
174,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:21.13938"
175,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:21.570732"
176,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:21.893445"
177,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:22.155135"
178,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:22.464924"
179,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:22.769276"
180,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:23.103826"
181,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:23.56754"
182,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:23.99485"
183,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:24.301975"
184,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:24.554917"
185,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:24.863276"
186,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:25.181091"
187,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:25.452"
188,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:25.804646"
189,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:26.076987"
190,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:26.536917"
191,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:26.853223"
192,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:27.140362"
193,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:27.557074"
194,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:27.828871"
195,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:28.103979"
196,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:28.474655"
197,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:28.786814"
198,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:29.05689"
199,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:29.332129"
200,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:29.600706"
201,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:29.954589"
202,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:30.330604"
203,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:30.621628"
204,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:30.988088"
205,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:31.289481"
206,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:31.643815"
207,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:31.964241"
208,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:32.271807"
209,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:32.584945"
210,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:32.91283"
211,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:33.368784"
212,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:33.760836"
213,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:34.556665"
214,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:35.089298"
215,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:35.470869"
216,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:35.751637"
217,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:36.072875"
218,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:36.351822"
219,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:36.723443"
220,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:37.291452"
221,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:37.557881"
222,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:37.878185"
223,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:38.274103"
224,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:38.622228"
225,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:38.90563"
226,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:39.204371"
227,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:39.560424"
228,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:39.942455"
229,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:40.353689"
230,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:40.632581"
231,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:40.914484"
232,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:41.285926"
233,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:41.562798"
234,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:41.868147"
235,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:42.147762"
236,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:42.513463"
237,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:43.523507"
238,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:46.942832"
239,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:47.652858"
240,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:48.988906"
241,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:50.621751"
242,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:51.834131"
243,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:52.468656"
244,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:53.873512"
245,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:54.153921"
246,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:54.594805"
247,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:54.87432"
248,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:55.141929"
249,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:55.610941"
250,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:38:55.879928"
251,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:38:56.178336"
252,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:38:56.488782"
253,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:38:56.848723"
254,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:38:57.147772"
255,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:38:57.423167"
256,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:38:57.888413"
257,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:38:58.145724"
258,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:38:58.435099"
259,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:38:58.754685"
260,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:38:59.035804"
261,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:38:59.440502"
262,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:38:59.790508"
263,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:39:00.040899"
264,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:39:00.373046"
265,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:39:00.667826"
266,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:39:01.097917"
267,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:39:01.549436"
268,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:39:01.841876"
269,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:39:02.163834"
270,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:39:02.501915"
271,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:39:02.798849"
272,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:39:03.190198"
273,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:39:03.471955"
274,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:39:04.306319"
275,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:39:04.646945"
276,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:39:04.92507"
277,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:39:05.216284"
278,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:39:05.482572"
279,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:39:05.787389"
280,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:39:06.115976"
281,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:39:06.508557"
282,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:39:06.815925"
283,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:39:07.107212"
284,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:39:07.464658"
285,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:39:07.760032"
286,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:39:08.026924"
287,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:39:08.315598"
288,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:39:08.590275"
289,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:39:08.966976"
290,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:39:09.259627"
291,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:39:09.551133"
292,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:39:09.862929"
293,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:39:10.349813"
294,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:39:11.316195"
295,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:39:11.578145"
296,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:39:12.205299"
297,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:39:13.085259"
298,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:39:14.208844"
299,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:39:14.632193"
300,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:39:15.059491"
301,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:39:15.951866"
302,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:39:16.993625"
303,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:39:17.958757"
304,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:39:18.327007"
305,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:39:18.679176"
306,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:39:18.995572"
307,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:39:19.267655"
308,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:39:19.630632"
309,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:39:19.894741"
310,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:39:20.202988"
311,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:39:20.587638"
312,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:39:20.92234"
313,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:39:21.203633"
314,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:39:21.531008"
315,"Vanadzor",8.8,12.6,"Cold ❄️","2026-03-19 11:39:21.911067"
316,"Dilijan",10.6,11.6,"Mild 🌤","2026-03-19 11:39:22.317765"
317,"Hrazdan",8.4,3.8,"Cold ❄️","2026-03-19 11:39:22.622299"
318,"Abovyan",10.2,6.2,"Mild 🌤","2026-03-19 11:39:22.939293"
319,"Kapan",11.4,9.6,"Mild 🌤","2026-03-19 11:39:23.198778"
320,"Goris",8.3,12.7,"Cold ❄️","2026-03-19 11:39:23.501564"
321,"Sevan",6.5,8.4,"Cold ❄️","2026-03-19 11:39:23.892477"
322,"Ijevan",9.6,10.3,"Cold ❄️","2026-03-19 11:39:26.618377"
323,"Armavir",14.9,10.6,"Mild 🌤","2026-03-19 11:39:28.355261"
324,"Artashat",16.4,18.0,"Mild 🌤","2026-03-19 11:39:29.693886"
325,"Sisian",9.6,15.1,"Cold ❄️","2026-03-19 11:39:30.920191"
326,"Yerevan",14.7,3.0,"Mild 🌤","2026-03-19 11:39:32.556383"
327,"Gyumri",7.7,6.1,"Cold ❄️","2026-03-19 11:39:33.870704"
